S	T
-0.00837338	0.0514284
-0.0218798	0.0168904
0.000120666	-0.00274117
-0.0126726	0.101406
-0.00651613	0.0941411
-0.0186945	-0.0241998
-0.00623135	0.0271529
-0.0118567	-0.0273783
-0.0179254	0.00340733
-0.016852	-0.0283175
-0.00277772	0.0198382
-0.0210195	0.00907179
-0.00371025	-0.00253548
-0.0173601	0.0557469
-0.0115426	0.111162
-0.0162987	0.00558814
-0.0122114	0.108478
-0.0135866	-0.0162967
-0.015199	-0.02714
-0.0209309	0.0716592
-0.00558566	0.0414604
-0.0290326	0.095778
-0.0163664	-0.022841
-0.00719607	0.0678011
-0.00592766	0.0771423
0.000598361	-0.00134781
-0.00361586	0.000897781
0.0268079	-0.00273042
-0.00309996	0.0249907
-0.00454368	-0.0194345
-0.0126808	0.110379
0.000451068	-0.0154086
-0.0186639	-0.00880756
-0.0163932	0.100507
-0.0194122	0.051735
-0.0130789	0.06793
-0.00788682	-0.016575
-0.00985435	0.0315746
-0.0168322	0.0817282
-0.00525274	-0.00853313
-0.0209808	0.0359231
-0.0169278	0.0848323
-0.0235267	0.0989039
-0.00367908	-0.00198624
-0.0121238	0.00704273
-0.00088197	-0.00478842
-0.00588221	0.0399423
-0.0120819	0.0519181
-0.0217887	0.0632781
-0.0211872	-0.0296683
-0.00367843	0.0346054
-0.0220919	0.0295139
0.000582552	-0.0136934
-0.0021227	-0.00543497
-0.00800255	0.0741416
-0.00147557	-0.00263385
-0.0077529	0.0606901
-0.00351782	0.031636
-0.00757856	0.0750482
-0.00366735	-0.0188357
-4.39575e-05	-0.000528045
-0.00766467	-0.0207415
-0.00964067	0.0450732
0.000210911	-0.00313134
-0.00818826	0.0723275
-0.0145259	0.0640507
-0.0192627	0.103003
-0.0156762	0.0839481
0.00385629	0.00725318
0.0175302	-0.000891027
-0.015151	0.0260785
-0.0078099	0.00867318
-0.00518918	-0.00202236
-0.0223773	0.0804652
-0.0140574	0.0518175
-0.0165583	0.0982138
-0.00501196	-0.0212093
-0.016945	-0.0173303
-0.0073776	0.0610154
-0.00924588	0.113014
-0.0205172	0.0941313
-0.013505	0.0951155
-0.00727323	0.099728
-0.00908951	0.0520761
-0.0137862	0.0968145
0.00263533	-0.00368133
-0.00692226	0.0546346
-0.0210069	0.0627089
-0.0193589	0.00186253
-0.0140356	0.0130796
-0.00353501	-0.0230825
-0.0120029	0.0620102
0.0045408	-0.00819772
-0.010547	0.0462735
-0.0134441	0.0474273
-0.020568	-0.00868164
-0.00633462	-0.00756273
-0.00107564	0.00529611
